0,0,0,0
0,0,0,0
1,0.125,0.166666667,0.333333333
3,0.5,0.5,1
3,0.428571429,0.5,0.75
0,0,0,0
3,0.2,0.2,1
3,0.2,0.2,1
1,0.055555556,0.066666667,0.25
2,0.25,0.25,1
6,0.545454545,0.545454545,1
3,0.25,0.272727273,0.75
1,0.076923077,0.083333333,0.5
2,0.166666667,0.166666667,1
2,0.142857143,0.153846154,0.666666667
2,0.166666667,0.2,0.5
0,0,0,0
1,0.125,0.142857143,0.5
0,0,0,0
0,0,0,0
2,0.285714286,0.285714286,1
1,0.142857143,0.142857143,1
0,0,0,0
2,0.111111111,0.125,0.5
1,0.055555556,0.0625,0.333333333
2,0.125,0.125,1
0,0,0,0
1,0.058823529,0.0625,0.5
4,0.25,0.25,1
2,0.117647059,0.125,0.666666667
3,0.176470588,0.1875,0.75
2,0.117647059,0.125,0.666666667
0,0,0,0
1,0.071428571,0.076923077,0.5
1,0.071428571,0.076923077,0.5
1,0.142857143,0.166666667,0.5
2,0.25,0.333333333,0.5
1,0.125,0.166666667,0.333333333
3,0.428571429,0.5,0.75
2,0.333333333,0.333333333,1
1,0.111111111,0.166666667,0.25
2,0.285714286,0.333333333,0.666666667
0,0,0,0
0,0,0,0
1,0.111111111,0.111111111,1
1,0.1,0.111111111,0.5
3,0.214285714,0.230769231,0.75
2,0.153846154,0.153846154,1
2,0.181818182,0.181818182,1
2,0.2,0.222222222,0.666666667
0,0,0,0
0,0,0,0
1,0.1,0.111111111,0.5
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
1,0.1,0.111111111,0.5
1,0.1,0.111111111,0.5
0,0,0,0
3,0.3,0.333333333,0.75
2,0.222222222,0.222222222,1
2,0.153846154,0.181818182,0.5
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
2,0.181818182,0.181818182,1
1,0.083333333,0.090909091,0.5
0,0,0,0
0,0,0,0
1,0.090909091,0.090909091,1
0,0,0,0
2,0.222222222,0.222222222,1
2,0.2,0.222222222,0.666666667
2,0.2,0.222222222,0.666666667
0,0,0,0
0,0,0,0
2,0.153846154,0.166666667,0.666666667
1,0.083333333,0.083333333,1
3,0.230769231,0.25,0.75
2,0.153846154,0.166666667,0.666666667
2,0.333333333,0.333333333,1
